image,gt_index,query,similarity,yolo_time,gt_conf
Group.JPG,0,man,0.2517472505569458,0.3397033214569092,0.9182717204093933
Group.JPG,0,man wearing jacket,0.292009562253952,0.3397033214569092,0.9182717204093933
Group.JPG,0,man wearing black jacket,0.299739807844162,0.3397033214569092,0.9182717204093933
Group.JPG,0,man in black jacket walking forward,0.2834402024745941,0.3397033214569092,0.9182717204093933
Group.JPG,0,"man with black jacket, jeans, hands in pockets",0.3200069069862366,0.3397033214569092,0.9182717204093933
group1.jpg,0,man,0.23058056831359863,0.18581318855285645,0.8975903391838074
group1.jpg,0,man wearing red,0.2917744219303131,0.18581318855285645,0.8975903391838074
group1.jpg,0,man in red shirt,0.3134182393550873,0.18581318855285645,0.8975903391838074
group1.jpg,0,smiling man in red shirt,0.3230364918708801,0.18581318855285645,0.8975903391838074
group1.jpg,0,young smiling man in red t-shirt outdoors,0.3549908697605133,0.18581318855285645,0.8975903391838074
